id,age,sex,question,conf,greatly
83,37,Female,conmedic,Hardly any,0
83,37,Female,consci,Only some,0
85,70,Male,coneduc,Only some,0
85,70,Male,conmedic,Only some,0
85,70,Male,consci,A great deal,1
87,53,Female,coneduc,Only some,0
87,53,Female,conmedic,Only some,0
87,53,Female,consci,Only some,0
88,46,Male,coneduc,Only some,0
88,46,Male,conmedic,Only some,0
88,46,Male,consci,A great deal,1
89,55,Male,coneduc,A great deal,1
89,55,Male,conmedic,A great deal,1
89,55,Male,consci,A great deal,1
90,28,Male,coneduc,Only some,0
90,28,Male,conmedic,Only some,0
90,28,Male,consci,A great deal,1
91,42,Male,coneduc,Hardly any,0
91,42,Male,conmedic,Only some,0
91,42,Male,consci,Only some,0
93,29,Male,coneduc,A great deal,1
93,29,Male,conmedic,A great deal,1
93,29,Male,consci,Only some,0
94,62,Female,coneduc,Only some,0
94,62,Female,conmedic,Only some,0
94,62,Female,consci,Only some,0
96,22,Male,coneduc,Only some,0
96,22,Male,conmedic,Only some,0
96,22,Male,consci,Only some,0
97,69,Female,coneduc,Only some,0
97,69,Female,conmedic,Only some,0
97,69,Female,consci,Only some,0
99,32,Female,coneduc,A great deal,1
99,32,Female,conmedic,Only some,0
99,32,Female,consci,A great deal,1
103,50,Male,coneduc,A great deal,1
103,50,Male,conmedic,A great deal,1
103,50,Male,consci,A great deal,1
104,78,Female,coneduc,Hardly any,0
104,78,Female,conmedic,A great deal,1
104,78,Female,consci,Only some,0
105,56,Male,coneduc,Hardly any,0
105,56,Male,conmedic,Hardly any,0
105,56,Male,consci,A great deal,1
107,23,Male,coneduc,Only some,0
107,23,Male,conmedic,A great deal,1
107,23,Male,consci,A great deal,1
108,67,Female,coneduc,Only some,0
108,67,Female,conmedic,A great deal,1
108,67,Female,consci,Only some,0
109,54,Female,coneduc,A great deal,1
109,54,Female,conmedic,A great deal,1
109,54,Female,consci,A great deal,1
110,62,Female,coneduc,Only some,0
110,62,Female,conmedic,Only some,0
110,62,Female,consci,Only some,0
111,55,Female,coneduc,Only some,0
111,55,Female,conmedic,A great deal,1
111,55,Female,consci,A great deal,1
112,56,Female,coneduc,A great deal,1
112,56,Female,conmedic,Only some,0
112,56,Female,consci,A great deal,1
113,58,Male,coneduc,Only some,0
113,58,Male,conmedic,A great deal,1
113,58,Male,consci,A great deal,1
115,70,Male,coneduc,Only some,0
115,70,Male,conmedic,A great deal,1
115,70,Male,consci,A great deal,1
117,65,Male,coneduc,Only some,0
117,65,Male,conmedic,Only some,0
117,65,Male,consci,Only some,0
118,42,Female,coneduc,Only some,0
118,42,Female,conmedic,Only some,0
118,42,Female,consci,A great deal,1
119,48,Female,coneduc,Only some,0
119,48,Female,conmedic,Only some,0
119,48,Female,consci,Only some,0
121,56,Female,coneduc,Only some,0
121,56,Female,conmedic,Hardly any,0
121,56,Female,consci,Only some,0
123,76,Female,coneduc,Only some,0
123,76,Female,conmedic,A great deal,1
123,76,Female,consci,A great deal,1
124,59,Female,coneduc,Only some,0
124,59,Female,conmedic,A great deal,1
124,59,Female,consci,A great deal,1
126,48,Male,coneduc,Hardly any,0
126,48,Male,conmedic,Only some,0
126,48,Male,consci,A great deal,1
128,39,Female,coneduc,Only some,0
128,39,Female,conmedic,Hardly any,0
128,39,Female,consci,A great deal,1
130,39,Female,coneduc,Only some,0
130,39,Female,conmedic,Only some,0
130,39,Female,consci,A great deal,1
131,52,Female,coneduc,Only some,0
131,52,Female,conmedic,Only some,0
131,52,Female,consci,Only some,0
133,60,Male,coneduc,Only some,0
133,60,Male,conmedic,A great deal,1
133,60,Male,consci,A great deal,1
134,69,Male,coneduc,Only some,0
134,69,Male,conmedic,Only some,0
134,69,Male,consci,Only some,0
135,60,Male,coneduc,Hardly any,0
135,60,Male,conmedic,Only some,0
135,60,Male,consci,Only some,0
136,22,Female,coneduc,A great deal,1
136,22,Female,conmedic,A great deal,1
136,22,Female,consci,Only some,0
138,35,Female,coneduc,Hardly any,0
138,35,Female,conmedic,A great deal,1
138,35,Female,consci,A great deal,1
139,38,Female,coneduc,Only some,0
139,38,Female,conmedic,Only some,0
139,38,Female,consci,A great deal,1
141,55,Male,coneduc,Hardly any,0
141,55,Male,conmedic,Hardly any,0
141,55,Male,consci,Only some,0
142,34,Male,coneduc,Hardly any,0
142,34,Male,conmedic,A great deal,1
142,34,Male,consci,A great deal,1
144,18,Male,coneduc,Hardly any,0
144,18,Male,conmedic,Hardly any,0
144,18,Male,consci,Only some,0
145,56,Male,coneduc,Only some,0
145,56,Male,conmedic,A great deal,1
145,56,Male,consci,A great deal,1
147,34,Male,coneduc,Hardly any,0
147,34,Male,conmedic,Hardly any,0
147,34,Male,consci,Hardly any,0
148,26,Female,coneduc,Hardly any,0
148,26,Female,conmedic,Hardly any,0
148,26,Female,consci,Only some,0
150,59,Female,coneduc,A great deal,1
150,59,Female,conmedic,Only some,0
150,59,Female,consci,A great deal,1
151,39,Female,coneduc,Only some,0
151,39,Female,conmedic,A great deal,1
151,39,Female,consci,A great deal,1
152,77,Female,coneduc,A great deal,1
152,77,Female,conmedic,Only some,0
152,77,Female,consci,Only some,0
153,35,Female,coneduc,A great deal,1
153,35,Female,conmedic,A great deal,1
153,35,Female,consci,Only some,0
154,46,Female,coneduc,Only some,0
154,46,Female,conmedic,A great deal,1
154,46,Female,consci,A great deal,1
155,57,Male,coneduc,Only some,0
155,57,Male,conmedic,A great deal,1
155,57,Male,consci,A great deal,1
156,35,Female,coneduc,Only some,0
156,35,Female,conmedic,Only some,0
156,35,Female,consci,Only some,0
159,48,Female,coneduc,Only some,0
159,48,Female,conmedic,Only some,0
159,48,Female,consci,Only some,0
161,18,Female,coneduc,A great deal,1
161,18,Female,conmedic,A great deal,1
161,18,Female,consci,Only some,0
162,18,Female,coneduc,A great deal,1
162,18,Female,conmedic,Only some,0
162,18,Female,consci,A great deal,1
164,51,Female,coneduc,Only some,0
164,51,Female,conmedic,Only some,0
164,51,Female,consci,Only some,0
166,71,Female,coneduc,Only some,0
166,71,Female,conmedic,Only some,0
166,71,Female,consci,A great deal,1
167,43,Male,coneduc,A great deal,1
167,43,Male,conmedic,Hardly any,0
167,43,Male,consci,A great deal,1
169,46,Male,coneduc,Only some,0
169,46,Male,conmedic,A great deal,1
169,46,Male,consci,A great deal,1
171,19,Male,coneduc,Hardly any,0
171,19,Male,conmedic,A great deal,1
171,19,Male,consci,A great deal,1
173,60,Female,coneduc,Hardly any,0
173,60,Female,conmedic,Hardly any,0
173,60,Female,consci,Only some,0
174,63,Female,coneduc,Only some,0
174,63,Female,conmedic,A great deal,1
174,63,Female,consci,A great deal,1
175,36,Male,coneduc,Only some,0
175,36,Male,conmedic,A great deal,1
175,36,Male,consci,Only some,0
176,40,Female,coneduc,A great deal,1
176,40,Female,conmedic,A great deal,1
176,40,Female,consci,A great deal,1
178,61,Male,coneduc,Hardly any,0
178,61,Male,conmedic,Hardly any,0
178,61,Male,consci,Only some,0
179,27,Male,coneduc,Only some,0
179,27,Male,conmedic,A great deal,1
179,27,Male,consci,A great deal,1
181,36,Female,coneduc,A great deal,1
181,36,Female,conmedic,A great deal,1
181,36,Female,consci,A great deal,1
182,74,Female,coneduc,Only some,0
182,74,Female,conmedic,A great deal,1
182,74,Female,consci,A great deal,1
184,34,Male,coneduc,Only some,0
184,34,Male,conmedic,Only some,0
184,34,Male,consci,A great deal,1
186,21,Female,coneduc,Only some,0
186,21,Female,conmedic,A great deal,1
186,21,Female,consci,A great deal,1
187,72,Female,coneduc,Only some,0
187,72,Female,conmedic,Only some,0
187,72,Female,consci,Only some,0
189,21,Female,coneduc,Only some,0
189,21,Female,conmedic,A great deal,1
189,21,Female,consci,A great deal,1
190,46,Male,coneduc,Only some,0
190,46,Male,conmedic,Only some,0
190,46,Male,consci,A great deal,1
191,53,Male,coneduc,A great deal,1
191,53,Male,conmedic,Only some,0
191,53,Male,consci,A great deal,1
192,74,Female,coneduc,Only some,0
192,74,Female,conmedic,Only some,0
192,74,Female,consci,A great deal,1
195,57,Male,coneduc,Only some,0
195,57,Male,conmedic,Hardly any,0
195,57,Male,consci,A great deal,1
197,53,Female,coneduc,Hardly any,0
197,53,Female,conmedic,Hardly any,0
197,53,Female,consci,Hardly any,0
199,38,Female,coneduc,Only some,0
199,38,Female,conmedic,Only some,0
199,38,Female,consci,Only some,0
203,68,Female,coneduc,Only some,0
203,68,Female,conmedic,Only some,0
203,68,Female,consci,A great deal,1
205,43,Male,coneduc,A great deal,1
205,43,Male,conmedic,A great deal,1
205,43,Male,consci,A great deal,1
206,69,Female,coneduc,Hardly any,0
206,69,Female,conmedic,Hardly any,0
206,69,Female,consci,Only some,0
208,57,Male,coneduc,Hardly any,0
208,57,Male,conmedic,Hardly any,0
208,57,Male,consci,Only some,0
209,50,Male,coneduc,Only some,0
209,50,Male,conmedic,Only some,0
209,50,Male,consci,A great deal,1
210,25,Female,coneduc,A great deal,1
210,25,Female,conmedic,A great deal,1
210,25,Female,consci,A great deal,1
211,75,Male,coneduc,Only some,0
211,75,Male,conmedic,Only some,0
211,75,Male,consci,A great deal,1
212,46,Male,coneduc,Only some,0
212,46,Male,conmedic,Only some,0
212,46,Male,consci,Only some,0
214,18,Female,coneduc,Only some,0
214,18,Female,conmedic,A great deal,1
214,18,Female,consci,A great deal,1
215,62,Female,coneduc,Only some,0
215,62,Female,conmedic,Only some,0
215,62,Female,consci,Hardly any,0
217,70,Female,coneduc,A great deal,1
217,70,Female,conmedic,Only some,0
217,70,Female,consci,Only some,0
